province,municipality,name,id,lon,lat,zone,ptmx,ptmy
MISAMIS OCCIDENTAL,TUDELA,"P 64, Cad 983 D, Tudela Cadastre",46221,123.7334466,8.242434775,4A,580808.108,911435.173
MISAMIS ORIENTAL,TALISAYAN,"S 11, Cad 326 D, Talisayan Cadastre",79683,124.9373953,8.956936303,5A,493115.5681,990376.0439
MISAMIS ORIENTAL,TALISAYAN,"BLBM No. 1, Bo. of Quinuguitan, Municipality of Talisayan, Province of Misamis Oriental",79508,124.7999896,8.995185226,5A,478007.7714,994611.3706
MOUNTAIN PROVINCE,LA TRINIDAD,"BLBM No. 2, Bo. of Yagyagan, Municipality of La Trinidad, Mountain Province",26158,120.5325655,16.44628568,3,450082.3349,1818885.602
MOUNTAIN PROVINCE,LUNA,"BLLM No. 73, Pls 65, Luna Public Land Subdivision",26254,121.4381389,18.27655833,3,546326.9439,2021424.746
NEGROS OCCIDENTAL,SAN CARLOS,"NNFZ No. 9, Cad 149, San Carlos Cadastre",66867,123.4393858,10.62410115,4,548077.8367,1174788.248
NEGROS OCCIDENTAL,BACOLOD,"MBM No. 15, Cad 39, Bacolod Cadastre",64737,122.9267136,10.59508741,4,491980.2823,1171546.29
NEGROS ORIENTAL,GUIHULNGAN,"BLLM No. 3, Pls 266, Guihulngan Public Land Subdivision",67938,123.1539274,10.1599148,4,516867.5677,1123420.072
NEGROS ORIENTAL,ZAMBOANGUITA,"NGE 3813, PRS 92",68601,123.198291,9.102180353,4,521796.7367,1006443.868
NORTH COTABATO,MIDSAYAP,"BLLM No. 1, Pls 134, Midsayap Public Land Subdivision",80107,124.5041731,7.029178316,5A,445218.3477,777226.2553
NORTH COTABATO,MIDSAYAP,"BLLM No. 9, Pls 134, Midsayap Public Land Subdivision",80136,124.5868736,7.204412089,5A,454373.0324,796595.0375
NORTHERN,SAMAR,"SMN 3008, PRS 92",87619,124.6563108,12.34528529,5,462620.8394,1365151.997
NORTHERN,SAMAR,"SMN 3012, PRS 92",87620,124.9996479,12.49744456,5,499961.7267,1381958.918
NORTHERN SAMAR,GAMAY,"BLLM No. 1, Cad 1098 D, Gamay Cadastre",87816,125.2999021,12.38752394,5,532611.6558,1369818.489
NORTHERN SAMAR,LAOANG,"BLLM No. 1, Municipality of Laoang, Province of Northern Samar",87820,125.0124889,12.57197222,5,501357.0876,1390202.796
NUEVA,VIZCAYA,"NVY 3089, PRS 92",28558,121.3255824,16.46517318,3,534765.6483,1820945.885
NUEVA ECIJA,GAPAN,"BLLM No. 37, Cad 225, Gapan Cadastre",27139,121.0001395,15.29830326,3,500014.9866,1691808.598
NUEVA ECIJA,STA. ROSA,"BLLM No. 24, Cad 269, Sta. Rosa Cadastre",28237,120.8904721,15.41242458,3,488243.5203,1704438.018
NUEVA VIZCAYA,BAGABAG,"NVY 3070, PRS 92",28747,121.2465721,16.56645099,3,526315.1785,1832140.672
NUEVA VIZCAYA,BAGABAG,"BLLM No. 47, Cad 233, Bagabag Cadastre",28725,121.3609861,16.69783333,3,538499.799,1846697.319
OCCIDENTAL,MINDORO,"MRW 21 A, PRS 92",29251,120.8386822,12.79065957,3,482485.5549,1414398.499
OCCIDENTAL MINDORO,SAN JOSE,"BLLM No. 9, Pls 33, San Jose Public Land Subdivision",29556,121.1677837,12.33895261,3,518248.281,1364433.26
OCCIDENTAL MINDORO,SAN JOSE,"MRW 2, PRS 92",29561,121.0086038,12.20982368,3,500936.2094,1350144.3
